Ref_ID,Simulation_Voc,Simulation_Jsc,JV_default_Voc,Simulation_PCE,Simulation_FF
20,1.02199,28.621589999999998,0.913,20.28508,0.6934836
22,1.018846,32.78008,1.06,25.38835,0.7601793
23,1.018846,32.78008,1.09,25.38835,0.7601793
24,1.018846,32.78008,1.1,25.38835,0.7601793
25,1.018846,32.78008,1.07,25.38835,0.7601793
26,1.018846,32.78008,1.06,25.38835,0.7601793
27,1.018846,32.78008,1.1,25.38835,0.7601793
72,1.021338,25.52844,1.12,18.39718,0.7055982
89,1.021665,28.310340000000004,1.0,20.1113,0.6953228
90,1.021665,28.310340000000004,1.1,20.1113,0.6953228
91,1.021665,28.310340000000004,1.1,20.1113,0.6953228
169,1.021488,28.141820000000003,1.05,20.01644,0.6963078
170,1.021488,28.141820000000003,1.03,20.01644,0.6963078
171,1.021488,28.141820000000003,0.98,20.01644,0.6963078
267,0.9851425,27.79205,1.1,20.31818,0.7421047
268,0.9851425,27.79205,1.08,20.31818,0.7421047
297,1.022387,29.00568,1.01,20.50515,0.691456
391,1.022387,29.00568,0.888,20.50515,0.691456
411,1.010764,23.66972,1.07,16.99361,0.7103011
412,1.010764,23.66972,1.07,16.99361,0.7103011
413,1.010764,23.66972,1.091,16.99361,0.7103011
414,1.010764,23.66972,1.103,16.99361,0.7103011
415,1.010764,23.66972,1.101,16.99361,0.7103011
416,1.010764,23.66972,1.07,16.99361,0.7103011
475,1.008589,25.622539999999997,0.96,20.12844,0.7788856
529,1.017452,28.558069999999997,1.05,22.44388,0.7724229
853,1.022215,28.838350000000002,1.03,20.40725,0.6922641
854,1.022215,28.838350000000002,1.06,20.40725,0.6922641
855,1.022215,28.838350000000002,1.01,20.40725,0.6922641
856,1.022215,28.838350000000002,1.01,20.40725,0.6922641
918,1.023095,29.67414,1.04,23.18474,0.7636742
919,1.023095,29.67414,1.072,23.18474,0.7636742
923,1.105538,32.94883,0.98,26.79765,0.7356699
924,1.105538,32.94883,1.01,26.79765,0.7356699
925,1.105538,32.94883,0.96,26.79765,0.7356699
926,1.105538,32.94883,1.01,26.79765,0.7356699
927,1.105538,32.94883,0.98,26.79765,0.7356699
928,1.105538,32.94883,1.02,26.79765,0.7356699
929,1.105538,32.94883,0.96,26.79765,0.7356699
930,1.105538,32.94883,1.0,26.79765,0.7356699
931,1.105538,32.94883,0.91,26.79765,0.7356699
932,1.105538,32.94883,1.0,26.79765,0.7356699
946,1.006824,25.93206,0.984,20.30379,0.7776544
947,1.006824,25.93206,0.979,20.30379,0.7776544
948,1.006824,25.93206,1.004,20.30379,0.7776544
949,1.006824,25.93206,0.99,20.30379,0.7776544
950,1.006824,25.93206,0.97,20.30379,0.7776544
951,1.006824,25.93206,0.99,20.30379,0.7776544
952,1.006824,25.93206,0.986,20.30379,0.7776544
953,1.006824,25.93206,1.004,20.30379,0.7776544
1145,1.022215,28.838350000000002,1.06,20.40725,0.6922641
1146,1.022215,28.838350000000002,1.06,20.40725,0.6922641
1147,1.022215,28.838350000000002,1.07,20.40725,0.6922641
1148,1.022215,28.838350000000002,1.07,20.40725,0.6922641
1149,1.022215,28.838350000000002,1.07,20.40725,0.6922641
1150,1.022215,28.838350000000002,1.07,20.40725,0.6922641
1151,1.022215,28.838350000000002,1.08,20.40725,0.6922641
1152,1.022215,28.838350000000002,1.1,20.40725,0.6922641
1153,1.022215,28.838350000000002,1.07,20.40725,0.6922641
1154,1.022215,28.838350000000002,1.1,20.40725,0.6922641
1166,1.011232,26.618650000000002,1.03,18.81013,0.6988038
1241,0.994064,27.57193,1.075,21.07016,0.7687522
1242,0.994064,27.57193,1.075,21.07016,0.7687522
1261,1.021488,28.141820000000003,0.975,20.01644,0.6963078
1352,1.02199,28.621589999999998,1.01,20.28508,0.6934836
1353,1.02199,28.621589999999998,1.09,20.28508,0.6934836
1354,1.02199,28.621589999999998,1.1,20.28508,0.6934836
1355,1.02199,28.621589999999998,1.04,20.28508,0.6934836
1356,1.021488,28.141820000000003,1.101,20.01644,0.6963078
1357,1.021488,28.141820000000003,1.109,20.01644,0.6963078
1358,1.021488,28.141820000000003,1.109,20.01644,0.6963078
1359,1.021488,28.141820000000003,1.102,20.01644,0.6963078
1360,1.021488,28.141820000000003,1.071,20.01644,0.6963078
1361,1.021488,28.141820000000003,1.102,20.01644,0.6963078
1362,1.021488,28.141820000000003,1.105,20.01644,0.6963078
1363,1.021488,28.141820000000003,1.102,20.01644,0.6963078
1364,1.021488,28.141820000000003,1.104,20.01644,0.6963078
1365,1.021488,28.141820000000003,1.11,20.01644,0.6963078
1371,1.022395,29.01108,0.833,20.50905,0.6914537
1507,1.022514,29.12998,1.01,20.57748,0.6908486
